initialRegeneration,time,Down + Detected + Rej > 0
Up Clock @ error|0 waitClock|0,0,0.000000000
Up Clock @ error|0 waitClock|0,1,0.000000000
Up Clock @ error|0 waitClock|0,2,0.000000000
Up Clock @ error|0 waitClock|0,3,0.000000001
Up Clock @ error|0 waitClock|0,4,0.000000004
Up Clock @ error|0 waitClock|0,5,0.000000009
Up Clock @ error|0 waitClock|0,6,0.000000017
Up Clock @ error|0 waitClock|0,7,0.000000029
Up Clock @ error|0 waitClock|0,8,0.000000046
Up Clock @ error|0 waitClock|0,9,0.000000068
Up Clock @ error|0 waitClock|0,10,0.000000181
Up Clock @ error|0 waitClock|0,11,0.000000263
Up Clock @ error|0 waitClock|0,12,0.000000372
Up Clock @ error|0 waitClock|0,13,0.000000506
Up Clock @ error|0 waitClock|0,14,0.000000666
Up Clock @ error|0 waitClock|0,15,0.000000858
Up Clock @ error|0 waitClock|0,16,0.000001086
Up Clock @ error|0 waitClock|0,17,0.000001354
Up Clock @ error|0 waitClock|0,18,0.000001664
Up Clock @ error|0 waitClock|0,19,0.000002020
Up Clock @ error|0 waitClock|0,20,0.000002426
Up Clock @ error|0 waitClock|0,21,0.000002884
Up Clock @ error|0 waitClock|0,22,0.000003398
Up Clock @ error|0 waitClock|0,23,0.000003969
Up Clock @ error|0 waitClock|0,24,0.000004600
Up Clock @ error|0 waitClock|0,25,0.000005295
Up Clock @ error|0 waitClock|0,26,0.000006056
Up Clock @ error|0 waitClock|0,27,0.000006885
Up Clock @ error|0 waitClock|0,28,0.000007784
Up Clock @ error|0 waitClock|0,29,0.000008756
Up Clock @ error|0 waitClock|0,30,0.000009804
Up Clock @ error|0 waitClock|0,31,0.000010928
Up Clock @ error|0 waitClock|0,32,0.000012132
Up Clock @ error|0 waitClock|0,33,0.000013417
Up Clock @ error|0 waitClock|0,34,0.000014786
Up Clock @ error|0 waitClock|0,35,0.000016240
Up Clock @ error|0 waitClock|0,36,0.000017782
Up Clock @ error|0 waitClock|0,37,0.000019413
Up Clock @ error|0 waitClock|0,38,0.000021135
Up Clock @ error|0 waitClock|0,39,0.000022949
Up Clock @ error|0 waitClock|0,40,0.000024858
Up Clock @ error|0 waitClock|0,41,0.000026862
Up Clock @ error|0 waitClock|0,42,0.000028964
Up Clock @ error|0 waitClock|0,43,0.000031165
Up Clock @ error|0 waitClock|0,44,0.000033466
Up Clock @ error|0 waitClock|0,45,0.000035869
Up Clock @ error|0 waitClock|0,46,0.000038375
Up Clock @ error|0 waitClock|0,47,0.000040986
Up Clock @ error|0 waitClock|0,48,0.000043702
Up Clock @ error|0 waitClock|0,49,0.000046525
Up Clock @ error|0 waitClock|0,50,0.000049455
Up Clock @ error|0 waitClock|0,51,0.000052495
Up Clock @ error|0 waitClock|0,52,0.000055644
Up Clock @ error|0 waitClock|0,53,0.000058905
Up Clock @ error|0 waitClock|0,54,0.000062277
Up Clock @ error|0 waitClock|0,55,0.000065763
Up Clock @ error|0 waitClock|0,56,0.000069362
Up Clock @ error|0 waitClock|0,57,0.000073075
Up Clock @ error|0 waitClock|0,58,0.000076904
Up Clock @ error|0 waitClock|0,59,0.000080849
Up Clock @ error|0 waitClock|0,60,0.000084910
Up Clock @ error|0 waitClock|0,61,0.000089089
Up Clock @ error|0 waitClock|0,62,0.000093386
Up Clock @ error|0 waitClock|0,63,0.000097802
Up Clock @ error|0 waitClock|0,64,0.000102337
Up Clock @ error|0 waitClock|0,65,0.000106991
Up Clock @ error|0 waitClock|0,66,0.000111766
Up Clock @ error|0 waitClock|0,67,0.000116661
Up Clock @ error|0 waitClock|0,68,0.000121677
Up Clock @ error|0 waitClock|0,69,0.000126814
Up Clock @ error|0 waitClock|0,70,0.000132074
Up Clock @ error|0 waitClock|0,71,0.000137455
Up Clock @ error|0 waitClock|0,72,0.000142958
Up Clock @ error|0 waitClock|0,73,0.000148584
Up Clock @ error|0 waitClock|0,74,0.000154333
Up Clock @ error|0 waitClock|0,75,0.000160205
Up Clock @ error|0 waitClock|0,76,0.000166200
Up Clock @ error|0 waitClock|0,77,0.000172318
Up Clock @ error|0 waitClock|0,78,0.000178559
Up Clock @ error|0 waitClock|0,79,0.000184924
Up Clock @ error|0 waitClock|0,80,0.000191412
Up Clock @ error|0 waitClock|0,81,0.000198024
Up Clock @ error|0 waitClock|0,82,0.000204759
Up Clock @ error|0 waitClock|0,83,0.000211618
Up Clock @ error|0 waitClock|0,84,0.000218600
Up Clock @ error|0 waitClock|0,85,0.000225705
Up Clock @ error|0 waitClock|0,86,0.000232934
Up Clock @ error|0 waitClock|0,87,0.000240285
Up Clock @ error|0 waitClock|0,88,0.000247760
Up Clock @ error|0 waitClock|0,89,0.000255358
Up Clock @ error|0 waitClock|0,90,0.000263078
Up Clock @ error|0 waitClock|0,91,0.000270920
Up Clock @ error|0 waitClock|0,92,0.000278885
Up Clock @ error|0 waitClock|0,93,0.000286971
Up Clock @ error|0 waitClock|0,94,0.000295180
Up Clock @ error|0 waitClock|0,95,0.000303509
Up Clock @ error|0 waitClock|0,96,0.000311960
Up Clock @ error|0 waitClock|0,97,0.000320532
Up Clock @ error|0 waitClock|0,98,0.000329224
Up Clock @ error|0 waitClock|0,99,0.000338036
