initialRegeneration,time,Down > 0
Up Clock @ waitClock|0,0.0,0.000000000
Up Clock @ waitClock|0,0.1,0.000000025
Up Clock @ waitClock|0,0.2,0.000000099
Up Clock @ waitClock|0,0.3,0.000000223
Up Clock @ waitClock|0,0.4,0.000000397
Up Clock @ waitClock|0,0.5,0.000000619
Up Clock @ waitClock|0,0.6,0.000000892
Up Clock @ waitClock|0,0.7,0.000001214
Up Clock @ waitClock|0,0.8,0.000001585
Up Clock @ waitClock|0,0.9,0.000002006
Up Clock @ waitClock|0,1.0,0.000002476
Up Clock @ waitClock|0,1.1,0.000002995
Up Clock @ waitClock|0,1.2,0.000003564
Up Clock @ waitClock|0,1.3,0.000004182
Up Clock @ waitClock|0,1.4,0.000004849
Up Clock @ waitClock|0,1.5,0.000005565
Up Clock @ waitClock|0,1.6,0.000006331
Up Clock @ waitClock|0,1.7,0.000007146
Up Clock @ waitClock|0,1.8,0.000008010
Up Clock @ waitClock|0,1.9,0.000008923
Up Clock @ waitClock|0,2.0,0.000009885
Up Clock @ waitClock|0,2.1,0.000010897
Up Clock @ waitClock|0,2.2,0.000011957
Up Clock @ waitClock|0,2.3,0.000013066
Up Clock @ waitClock|0,2.4,0.000014225
Up Clock @ waitClock|0,2.5,0.000015432
Up Clock @ waitClock|0,2.6,0.000016688
Up Clock @ waitClock|0,2.7,0.000017993
Up Clock @ waitClock|0,2.8,0.000019348
Up Clock @ waitClock|0,2.9,0.000020750
Up Clock @ waitClock|0,3.0,0.000022202
Up Clock @ waitClock|0,3.1,0.000023703
Up Clock @ waitClock|0,3.2,0.000025252
Up Clock @ waitClock|0,3.3,0.000026850
Up Clock @ waitClock|0,3.4,0.000028497
Up Clock @ waitClock|0,3.5,0.000030193
Up Clock @ waitClock|0,3.6,0.000031937
Up Clock @ waitClock|0,3.7,0.000033730
Up Clock @ waitClock|0,3.8,0.000035571
Up Clock @ waitClock|0,3.9,0.000037462
Up Clock @ waitClock|0,4.0,0.000039400
Up Clock @ waitClock|0,4.1,0.000041388
Up Clock @ waitClock|0,4.2,0.000043423
Up Clock @ waitClock|0,4.3,0.000045508
Up Clock @ waitClock|0,4.4,0.000047640
Up Clock @ waitClock|0,4.5,0.000049822
Up Clock @ waitClock|0,4.6,0.000052051
Up Clock @ waitClock|0,4.7,0.000054329
Up Clock @ waitClock|0,4.8,0.000056656
Up Clock @ waitClock|0,4.9,0.000059030
Up Clock @ waitClock|0,5.0,0.000061453
Up Clock @ waitClock|0,5.1,0.000063925
Up Clock @ waitClock|0,5.2,0.000066444
Up Clock @ waitClock|0,5.3,0.000069012
Up Clock @ waitClock|0,5.4,0.000071628
Up Clock @ waitClock|0,5.5,0.000074292
Up Clock @ waitClock|0,5.6,0.000077005
Up Clock @ waitClock|0,5.7,0.000079765
Up Clock @ waitClock|0,5.8,0.000082574
Up Clock @ waitClock|0,5.9,0.000085431
Up Clock @ waitClock|0,6.0,0.000088335
Up Clock @ waitClock|0,6.1,0.000091288
Up Clock @ waitClock|0,6.2,0.000094289
Up Clock @ waitClock|0,6.3,0.000097338
Up Clock @ waitClock|0,6.4,0.000100434
Up Clock @ waitClock|0,6.5,0.000103579
Up Clock @ waitClock|0,6.6,0.000106772
Up Clock @ waitClock|0,6.7,0.000110012
Up Clock @ waitClock|0,6.8,0.000113300
Up Clock @ waitClock|0,6.9,0.000116636
Up Clock @ waitClock|0,7.0,0.000120020
Up Clock @ waitClock|0,7.1,0.000123452
Up Clock @ waitClock|0,7.2,0.000126931
Up Clock @ waitClock|0,7.3,0.000130459
Up Clock @ waitClock|0,7.4,0.000134033
Up Clock @ waitClock|0,7.5,0.000137656
Up Clock @ waitClock|0,7.6,0.000141326
Up Clock @ waitClock|0,7.7,0.000145044
Up Clock @ waitClock|0,7.8,0.000148809
Up Clock @ waitClock|0,7.9,0.000152622
Up Clock @ waitClock|0,8.0,0.000156483
Up Clock @ waitClock|0,8.1,0.000160391
Up Clock @ waitClock|0,8.2,0.000164346
Up Clock @ waitClock|0,8.3,0.000168349
Up Clock @ waitClock|0,8.4,0.000172399
Up Clock @ waitClock|0,8.5,0.000176497
Up Clock @ waitClock|0,8.6,0.000180642
Up Clock @ waitClock|0,8.7,0.000184835
Up Clock @ waitClock|0,8.8,0.000189075
Up Clock @ waitClock|0,8.9,0.000193362
Up Clock @ waitClock|0,9.0,0.000197696
Up Clock @ waitClock|0,9.1,0.000202078
Up Clock @ waitClock|0,9.2,0.000206507
Up Clock @ waitClock|0,9.3,0.000210983
Up Clock @ waitClock|0,9.4,0.000215506
Up Clock @ waitClock|0,9.5,0.000220077
Up Clock @ waitClock|0,9.6,0.000224694
Up Clock @ waitClock|0,9.7,0.000229359
Up Clock @ waitClock|0,9.8,0.000234071
Up Clock @ waitClock|0,9.9,0.000238830
Up Clock @ waitClock|0,10.0,0.000243636
Up Clock @ waitClock|0,10.1,0.000248489
Up Clock @ waitClock|0,10.2,0.000253388
Up Clock @ waitClock|0,10.3,0.000258335
Up Clock @ waitClock|0,10.4,0.000263329
Up Clock @ waitClock|0,10.5,0.000268370
Up Clock @ waitClock|0,10.6,0.000273457
Up Clock @ waitClock|0,10.7,0.000278592
Up Clock @ waitClock|0,10.8,0.000283773
Up Clock @ waitClock|0,10.9,0.000289001
Up Clock @ waitClock|0,11.0,0.000294276
Up Clock @ waitClock|0,11.1,0.000299597
Up Clock @ waitClock|0,11.2,0.000304965
Up Clock @ waitClock|0,11.3,0.000310380
