initialRegeneration,time,Down + Detected + Rej > 0
Up Clock @ waitClock|0,0.0,0.000000000
Up Clock @ waitClock|0,0.1,0.000000024
Up Clock @ waitClock|0,0.2,0.000000096
Up Clock @ waitClock|0,0.3,0.000000212
Up Clock @ waitClock|0,0.4,0.000000397
Up Clock @ waitClock|0,0.5,0.000000619
Up Clock @ waitClock|0,0.6,0.000000891
Up Clock @ waitClock|0,0.7,0.000001211
Up Clock @ waitClock|0,0.8,0.000001581
Up Clock @ waitClock|0,0.9,0.000001999
Up Clock @ waitClock|0,1.0,0.000002465
Up Clock @ waitClock|0,1.1,0.000002979
Up Clock @ waitClock|0,1.2,0.000003541
Up Clock @ waitClock|0,1.3,0.000004150
Up Clock @ waitClock|0,1.4,0.000004806
Up Clock @ waitClock|0,1.5,0.000005509
Up Clock @ waitClock|0,1.6,0.000006259
Up Clock @ waitClock|0,1.7,0.000007054
Up Clock @ waitClock|0,1.8,0.000007895
Up Clock @ waitClock|0,1.9,0.000008781
Up Clock @ waitClock|0,2.0,0.000009712
Up Clock @ waitClock|0,2.1,0.000010687
Up Clock @ waitClock|0,2.2,0.000011706
Up Clock @ waitClock|0,2.3,0.000012769
Up Clock @ waitClock|0,2.4,0.000013875
Up Clock @ waitClock|0,2.5,0.000015024
Up Clock @ waitClock|0,2.6,0.000016215
Up Clock @ waitClock|0,2.7,0.000017448
Up Clock @ waitClock|0,2.8,0.000018722
Up Clock @ waitClock|0,2.9,0.000020037
Up Clock @ waitClock|0,3.0,0.000021392
Up Clock @ waitClock|0,3.1,0.000022788
Up Clock @ waitClock|0,3.2,0.000024223
Up Clock @ waitClock|0,3.3,0.000025697
Up Clock @ waitClock|0,3.4,0.000027210
Up Clock @ waitClock|0,3.5,0.000028761
Up Clock @ waitClock|0,3.6,0.000030349
Up Clock @ waitClock|0,3.7,0.000031975
Up Clock @ waitClock|0,3.8,0.000033638
Up Clock @ waitClock|0,3.9,0.000035337
Up Clock @ waitClock|0,4.0,0.000037072
Up Clock @ waitClock|0,4.1,0.000038842
Up Clock @ waitClock|0,4.2,0.000040647
Up Clock @ waitClock|0,4.3,0.000042487
Up Clock @ waitClock|0,4.4,0.000044360
Up Clock @ waitClock|0,4.5,0.000046267
Up Clock @ waitClock|0,4.6,0.000048208
Up Clock @ waitClock|0,4.7,0.000050181
Up Clock @ waitClock|0,4.8,0.000052186
Up Clock @ waitClock|0,4.9,0.000054224
Up Clock @ waitClock|0,5.0,0.000056292
Up Clock @ waitClock|0,5.1,0.000058392
Up Clock @ waitClock|0,5.2,0.000060522
Up Clock @ waitClock|0,5.3,0.000062682
Up Clock @ waitClock|0,5.4,0.000064872
Up Clock @ waitClock|0,5.5,0.000067091
Up Clock @ waitClock|0,5.6,0.000069338
Up Clock @ waitClock|0,5.7,0.000071615
Up Clock @ waitClock|0,5.8,0.000073919
Up Clock @ waitClock|0,5.9,0.000076251
Up Clock @ waitClock|0,6.0,0.000078610
Up Clock @ waitClock|0,6.1,0.000080996
Up Clock @ waitClock|0,6.2,0.000083409
Up Clock @ waitClock|0,6.3,0.000085847
Up Clock @ waitClock|0,6.4,0.000088311
Up Clock @ waitClock|0,6.5,0.000090801
Up Clock @ waitClock|0,6.6,0.000093315
Up Clock @ waitClock|0,6.7,0.000095854
Up Clock @ waitClock|0,6.8,0.000098417
Up Clock @ waitClock|0,6.9,0.000101004
Up Clock @ waitClock|0,7.0,0.000103614
Up Clock @ waitClock|0,7.1,0.000106247
Up Clock @ waitClock|0,7.2,0.000108903
Up Clock @ waitClock|0,7.3,0.000111581
Up Clock @ waitClock|0,7.4,0.000114282
Up Clock @ waitClock|0,7.5,0.000117004
Up Clock @ waitClock|0,7.6,0.000119748
Up Clock @ waitClock|0,7.7,0.000122512
Up Clock @ waitClock|0,7.8,0.000125297
Up Clock @ waitClock|0,7.9,0.000128103
Up Clock @ waitClock|0,8.0,0.000130929
Up Clock @ waitClock|0,8.1,0.000133774
Up Clock @ waitClock|0,8.2,0.000136639
Up Clock @ waitClock|0,8.3,0.000139523
Up Clock @ waitClock|0,8.4,0.000142426
Up Clock @ waitClock|0,8.5,0.000145348
Up Clock @ waitClock|0,8.6,0.000148287
Up Clock @ waitClock|0,8.7,0.000151245
Up Clock @ waitClock|0,8.8,0.000154220
Up Clock @ waitClock|0,8.9,0.000157213
Up Clock @ waitClock|0,9.0,0.000160222
Up Clock @ waitClock|0,9.1,0.000163249
Up Clock @ waitClock|0,9.2,0.000166292
Up Clock @ waitClock|0,9.3,0.000169352
Up Clock @ waitClock|0,9.4,0.000172427
Up Clock @ waitClock|0,9.5,0.000175518
Up Clock @ waitClock|0,9.6,0.000178625
Up Clock @ waitClock|0,9.7,0.000181747
Up Clock @ waitClock|0,9.8,0.000184883
Up Clock @ waitClock|0,9.9,0.000188035
Up Clock @ waitClock|0,10.0,0.000191201
Up Clock @ waitClock|0,10.1,0.000194381
Up Clock @ waitClock|0,10.2,0.000197576
Up Clock @ waitClock|0,10.3,0.000200784
Up Clock @ waitClock|0,10.4,0.000204006
Up Clock @ waitClock|0,10.5,0.000207241
Up Clock @ waitClock|0,10.6,0.000210489
Up Clock @ waitClock|0,10.7,0.000213750
Up Clock @ waitClock|0,10.8,0.000217023
Up Clock @ waitClock|0,10.9,0.000220309
Up Clock @ waitClock|0,11.0,0.000223608
Up Clock @ waitClock|0,11.1,0.000226918
Up Clock @ waitClock|0,11.2,0.000230240
Up Clock @ waitClock|0,11.3,0.000233574
Up Clock @ waitClock|0,11.4,0.000236919
Up Clock @ waitClock|0,11.5,0.000240275
Up Clock @ waitClock|0,11.6,0.000243642
Up Clock @ waitClock|0,11.7,0.000247021
Up Clock @ waitClock|0,11.8,0.000250409
Up Clock @ waitClock|0,11.9,0.000253808
Up Clock @ waitClock|0,12.0,0.000257218
Up Clock @ waitClock|0,12.1,0.000260637
Up Clock @ waitClock|0,12.2,0.000264067
Up Clock @ waitClock|0,12.3,0.000267506
Up Clock @ waitClock|0,12.4,0.000270955
Up Clock @ waitClock|0,12.5,0.000274413
Up Clock @ waitClock|0,12.6,0.000277880
Up Clock @ waitClock|0,12.7,0.000281356
Up Clock @ waitClock|0,12.8,0.000284842
Up Clock @ waitClock|0,12.9,0.000288335
Up Clock @ waitClock|0,13.0,0.000291838
Up Clock @ waitClock|0,13.1,0.000295349
Up Clock @ waitClock|0,13.2,0.000298868
Up Clock @ waitClock|0,13.3,0.000302395
Up Clock @ waitClock|0,13.4,0.000305930
Up Clock @ waitClock|0,13.5,0.000309473
Up Clock @ waitClock|0,13.6,0.000313024
Up Clock @ waitClock|0,13.7,0.000316582
Up Clock @ waitClock|0,13.8,0.000320147
Up Clock @ waitClock|0,13.9,0.000323719
Up Clock @ waitClock|0,14.0,0.000327299
Up Clock @ waitClock|0,14.1,0.000330886
Up Clock @ waitClock|0,14.2,0.000334479
Up Clock @ waitClock|0,14.3,0.000338079
Up Clock @ waitClock|0,14.4,0.000341686
Up Clock @ waitClock|0,14.5,0.000345299
Up Clock @ waitClock|0,14.6,0.000348918
Up Clock @ waitClock|0,14.7,0.000352544
Up Clock @ waitClock|0,14.8,0.000356175
Up Clock @ waitClock|0,14.9,0.000359813
Up Clock @ waitClock|0,15.0,0.000363456
Up Clock @ waitClock|0,15.1,0.000367105
Up Clock @ waitClock|0,15.2,0.000370760
Up Clock @ waitClock|0,15.3,0.000374420
Up Clock @ waitClock|0,15.4,0.000378085
Up Clock @ waitClock|0,15.5,0.000381756
Up Clock @ waitClock|0,15.6,0.000385431
Up Clock @ waitClock|0,15.7,0.000389112
Up Clock @ waitClock|0,15.8,0.000392798
Up Clock @ waitClock|0,15.9,0.000396488
Up Clock @ waitClock|0,16.0,0.000400183
Up Clock @ waitClock|0,16.1,0.000403883
Up Clock @ waitClock|0,16.2,0.000407588
Up Clock @ waitClock|0,16.3,0.000411296
Up Clock @ waitClock|0,16.4,0.000415009
Up Clock @ waitClock|0,16.5,0.000418726
Up Clock @ waitClock|0,16.6,0.000422448
Up Clock @ waitClock|0,16.7,0.000426173
Up Clock @ waitClock|0,16.8,0.000429903
Up Clock @ waitClock|0,16.9,0.000433636
Up Clock @ waitClock|0,17.0,0.000437373
Up Clock @ waitClock|0,17.1,0.000441113
Up Clock @ waitClock|0,17.2,0.000444857
Up Clock @ waitClock|0,17.3,0.000448605
Up Clock @ waitClock|0,17.4,0.000452356
Up Clock @ waitClock|0,17.5,0.000456111
Up Clock @ waitClock|0,17.6,0.000459869
Up Clock @ waitClock|0,17.7,0.000463629
Up Clock @ waitClock|0,17.8,0.000467393
Up Clock @ waitClock|0,17.9,0.000471160
Up Clock @ waitClock|0,18.0,0.000474930
Up Clock @ waitClock|0,18.1,0.000478703
