initialRegeneration,time,Down + Detected + Rej > 0
Up Clock @ error|0 waitClock|0,0.0,0.000000000
Up Clock @ error|0 waitClock|0,0.5,0.000000000
Up Clock @ error|0 waitClock|0,1.0,0.000000000
Up Clock @ error|0 waitClock|0,1.5,0.000000000
Up Clock @ error|0 waitClock|0,2.0,0.000000000
Up Clock @ error|0 waitClock|0,2.5,0.000000000
Up Clock @ error|0 waitClock|0,3.0,0.000000001
Up Clock @ error|0 waitClock|0,3.5,0.000000002
Up Clock @ error|0 waitClock|0,4.0,0.000000003
Up Clock @ error|0 waitClock|0,4.5,0.000000006
Up Clock @ error|0 waitClock|0,5.0,0.000000009
Up Clock @ error|0 waitClock|0,5.5,0.000000015
Up Clock @ error|0 waitClock|0,6.0,0.000000022
Up Clock @ error|0 waitClock|0,6.5,0.000000032
Up Clock @ error|0 waitClock|0,7.0,0.000000044
Up Clock @ error|0 waitClock|0,7.5,0.000000066
Up Clock @ error|0 waitClock|0,8.0,0.000000099
Up Clock @ error|0 waitClock|0,8.5,0.000000141
Up Clock @ error|0 waitClock|0,9.0,0.000000194
Up Clock @ error|0 waitClock|0,9.5,0.000000261
Up Clock @ error|0 waitClock|0,10.0,0.000000342
Up Clock @ error|0 waitClock|0,10.5,0.000000442
Up Clock @ error|0 waitClock|0,11.0,0.000000562
Up Clock @ error|0 waitClock|0,11.5,0.000000704
Up Clock @ error|0 waitClock|0,12.0,0.000000872
Up Clock @ error|0 waitClock|0,12.5,0.000001069
Up Clock @ error|0 waitClock|0,13.0,0.000001298
Up Clock @ error|0 waitClock|0,13.5,0.000001563
Up Clock @ error|0 waitClock|0,14.0,0.000001868
Up Clock @ error|0 waitClock|0,14.5,0.000002215
Up Clock @ error|0 waitClock|0,15.0,0.000002611
Up Clock @ error|0 waitClock|0,15.5,0.000003058
Up Clock @ error|0 waitClock|0,16.0,0.000003563
Up Clock @ error|0 waitClock|0,16.5,0.000004128
Up Clock @ error|0 waitClock|0,17.0,0.000004760
Up Clock @ error|0 waitClock|0,17.5,0.000005464
Up Clock @ error|0 waitClock|0,18.0,0.000006245
Up Clock @ error|0 waitClock|0,18.5,0.000007108
Up Clock @ error|0 waitClock|0,19.0,0.000008059
Up Clock @ error|0 waitClock|0,19.5,0.000009105
Up Clock @ error|0 waitClock|0,20.0,0.000010251
Up Clock @ error|0 waitClock|0,20.5,0.000011503
Up Clock @ error|0 waitClock|0,21.0,0.000012869
Up Clock @ error|0 waitClock|0,21.5,0.000014354
Up Clock @ error|0 waitClock|0,22.0,0.000015966
Up Clock @ error|0 waitClock|0,22.5,0.000017711
Up Clock @ error|0 waitClock|0,23.0,0.000019597
Up Clock @ error|0 waitClock|0,23.5,0.000021631
Up Clock @ error|0 waitClock|0,24.0,0.000023820
Up Clock @ error|0 waitClock|0,24.5,0.000026172
Up Clock @ error|0 waitClock|0,25.0,0.000028695
Up Clock @ error|0 waitClock|0,25.5,0.000031397
Up Clock @ error|0 waitClock|0,26.0,0.000034285
Up Clock @ error|0 waitClock|0,26.5,0.000037369
Up Clock @ error|0 waitClock|0,27.0,0.000040656
Up Clock @ error|0 waitClock|0,27.5,0.000044155
Up Clock @ error|0 waitClock|0,28.0,0.000047874
Up Clock @ error|0 waitClock|0,28.5,0.000051823
Up Clock @ error|0 waitClock|0,29.0,0.000056011
Up Clock @ error|0 waitClock|0,29.5,0.000060446
Up Clock @ error|0 waitClock|0,30.0,0.000065137
Up Clock @ error|0 waitClock|0,30.5,0.000070095
Up Clock @ error|0 waitClock|0,31.0,0.000075328
Up Clock @ error|0 waitClock|0,31.5,0.000080847
Up Clock @ error|0 waitClock|0,32.0,0.000086660
Up Clock @ error|0 waitClock|0,32.5,0.000092778
Up Clock @ error|0 waitClock|0,33.0,0.000099211
Up Clock @ error|0 waitClock|0,33.5,0.000105969
Up Clock @ error|0 waitClock|0,34.0,0.000113063
Up Clock @ error|0 waitClock|0,34.5,0.000120501
Up Clock @ error|0 waitClock|0,35.0,0.000128296
Up Clock @ error|0 waitClock|0,35.5,0.000136458
Up Clock @ error|0 waitClock|0,36.0,0.000144997
Up Clock @ error|0 waitClock|0,36.5,0.000153924
Up Clock @ error|0 waitClock|0,37.0,0.000163250
Up Clock @ error|0 waitClock|0,37.5,0.000172986
Up Clock @ error|0 waitClock|0,38.0,0.000183143
Up Clock @ error|0 waitClock|0,38.5,0.000193733
Up Clock @ error|0 waitClock|0,39.0,0.000204767
Up Clock @ error|0 waitClock|0,39.5,0.000216256
Up Clock @ error|0 waitClock|0,40.0,0.000228212
Up Clock @ error|0 waitClock|0,40.5,0.000240646
Up Clock @ error|0 waitClock|0,41.0,0.000253571
Up Clock @ error|0 waitClock|0,41.5,0.000266998
Up Clock @ error|0 waitClock|0,42.0,0.000280938
Up Clock @ error|0 waitClock|0,42.5,0.000295405
Up Clock @ error|0 waitClock|0,43.0,0.000310409
Up Clock @ error|0 waitClock|0,43.5,0.000325964
Up Clock @ error|0 waitClock|0,44.0,0.000342081
Up Clock @ error|0 waitClock|0,44.5,0.000358773
Up Clock @ error|0 waitClock|0,45.0,0.000376052
Up Clock @ error|0 waitClock|0,45.5,0.000393931
Up Clock @ error|0 waitClock|0,46.0,0.000412423
Up Clock @ error|0 waitClock|0,46.5,0.000431539
Up Clock @ error|0 waitClock|0,47.0,0.000451294
Up Clock @ error|0 waitClock|0,47.5,0.000471699
Up Clock @ error|0 waitClock|0,48.0,0.000492767
Up Clock @ error|0 waitClock|0,48.5,0.000514512
Up Clock @ error|0 waitClock|0,49.0,0.000536946
Up Clock @ error|0 waitClock|0,49.5,0.000560083
Up Clock @ error|0 waitClock|0,50.0,0.000583936
Up Clock @ error|0 waitClock|0,50.5,0.000608518
Up Clock @ error|0 waitClock|0,51.0,0.000633842
Up Clock @ error|0 waitClock|0,51.5,0.000659922
Up Clock @ error|0 waitClock|0,52.0,0.000686771
Up Clock @ error|0 waitClock|0,52.5,0.000714402
Up Clock @ error|0 waitClock|0,53.0,0.000742830
Up Clock @ error|0 waitClock|0,53.5,0.000772067
Up Clock @ error|0 waitClock|0,54.0,0.000802128
Up Clock @ error|0 waitClock|0,54.5,0.000833025
Up Clock @ error|0 waitClock|0,55.0,0.000864774
Up Clock @ error|0 waitClock|0,55.5,0.000897387
Up Clock @ error|0 waitClock|0,56.0,0.000930879
Up Clock @ error|0 waitClock|0,56.5,0.000965263
Up Clock @ error|0 waitClock|0,57.0,0.001000554
Up Clock @ error|0 waitClock|0,57.5,0.001036765
