initialRegeneration,time,Down > 0
Up Clock @ error|0 waitClock|0,0,0.000000000
Up Clock @ error|0 waitClock|0,1,0.000000000
Up Clock @ error|0 waitClock|0,2,0.000000000
Up Clock @ error|0 waitClock|0,3,0.000000000
Up Clock @ error|0 waitClock|0,4,0.000000000
Up Clock @ error|0 waitClock|0,5,0.000000000
Up Clock @ error|0 waitClock|0,6,0.000000024
Up Clock @ error|0 waitClock|0,7,0.000000044
Up Clock @ error|0 waitClock|0,8,0.000000075
Up Clock @ error|0 waitClock|0,9,0.000000120
Up Clock @ error|0 waitClock|0,10,0.000000181
Up Clock @ error|0 waitClock|0,11,0.000000264
Up Clock @ error|0 waitClock|0,12,0.000000373
Up Clock @ error|0 waitClock|0,13,0.000000511
Up Clock @ error|0 waitClock|0,14,0.000000684
Up Clock @ error|0 waitClock|0,15,0.000000897
Up Clock @ error|0 waitClock|0,16,0.000001156
Up Clock @ error|0 waitClock|0,17,0.000001466
Up Clock @ error|0 waitClock|0,18,0.000001834
Up Clock @ error|0 waitClock|0,19,0.000002266
Up Clock @ error|0 waitClock|0,20,0.000002769
Up Clock @ error|0 waitClock|0,21,0.000003350
Up Clock @ error|0 waitClock|0,22,0.000004017
Up Clock @ error|0 waitClock|0,23,0.000004776
Up Clock @ error|0 waitClock|0,24,0.000005635
Up Clock @ error|0 waitClock|0,25,0.000006604
Up Clock @ error|0 waitClock|0,26,0.000007689
Up Clock @ error|0 waitClock|0,27,0.000008901
Up Clock @ error|0 waitClock|0,28,0.000010246
Up Clock @ error|0 waitClock|0,29,0.000011735
Up Clock @ error|0 waitClock|0,30,0.000013377
Up Clock @ error|0 waitClock|0,31,0.000015180
Up Clock @ error|0 waitClock|0,32,0.000017156
Up Clock @ error|0 waitClock|0,33,0.000019312
Up Clock @ error|0 waitClock|0,34,0.000021660
Up Clock @ error|0 waitClock|0,35,0.000024210
Up Clock @ error|0 waitClock|0,36,0.000026972
Up Clock @ error|0 waitClock|0,37,0.000029956
Up Clock @ error|0 waitClock|0,38,0.000033173
Up Clock @ error|0 waitClock|0,39,0.000036635
Up Clock @ error|0 waitClock|0,40,0.000040351
Up Clock @ error|0 waitClock|0,41,0.000044334
Up Clock @ error|0 waitClock|0,42,0.000048594
Up Clock @ error|0 waitClock|0,43,0.000053143
Up Clock @ error|0 waitClock|0,44,0.000057992
Up Clock @ error|0 waitClock|0,45,0.000063154
Up Clock @ error|0 waitClock|0,46,0.000068639
Up Clock @ error|0 waitClock|0,47,0.000074460
Up Clock @ error|0 waitClock|0,48,0.000080629
Up Clock @ error|0 waitClock|0,49,0.000087157
Up Clock @ error|0 waitClock|0,50,0.000094058
Up Clock @ error|0 waitClock|0,51,0.000101343
Up Clock @ error|0 waitClock|0,52,0.000109025
Up Clock @ error|0 waitClock|0,53,0.000117116
Up Clock @ error|0 waitClock|0,54,0.000125628
Up Clock @ error|0 waitClock|0,55,0.000134576
Up Clock @ error|0 waitClock|0,56,0.000143970
Up Clock @ error|0 waitClock|0,57,0.000153824
Up Clock @ error|0 waitClock|0,58,0.000164151
Up Clock @ error|0 waitClock|0,59,0.000174964
Up Clock @ error|0 waitClock|0,60,0.000186275
Up Clock @ error|0 waitClock|0,61,0.000198098
Up Clock @ error|0 waitClock|0,62,0.000210446
Up Clock @ error|0 waitClock|0,63,0.000223332
Up Clock @ error|0 waitClock|0,64,0.000236768
Up Clock @ error|0 waitClock|0,65,0.000250769
Up Clock @ error|0 waitClock|0,66,0.000265347
Up Clock @ error|0 waitClock|0,67,0.000280515
Up Clock @ error|0 waitClock|0,68,0.000296288
Up Clock @ error|0 waitClock|0,69,0.000312677
Up Clock @ error|0 waitClock|0,70,0.000329698
Up Clock @ error|0 waitClock|0,71,0.000347362
Up Clock @ error|0 waitClock|0,72,0.000365683
Up Clock @ error|0 waitClock|0,73,0.000384675
Up Clock @ error|0 waitClock|0,74,0.000404350
Up Clock @ error|0 waitClock|0,75,0.000424724
Up Clock @ error|0 waitClock|0,76,0.000445807
Up Clock @ error|0 waitClock|0,77,0.000467615
Up Clock @ error|0 waitClock|0,78,0.000490161
Up Clock @ error|0 waitClock|0,79,0.000513457
Up Clock @ error|0 waitClock|0,80,0.000537518
Up Clock @ error|0 waitClock|0,81,0.000562356
Up Clock @ error|0 waitClock|0,82,0.000587985
Up Clock @ error|0 waitClock|0,83,0.000614418
Up Clock @ error|0 waitClock|0,84,0.000641669
Up Clock @ error|0 waitClock|0,85,0.000669751
Up Clock @ error|0 waitClock|0,86,0.000698677
Up Clock @ error|0 waitClock|0,87,0.000728461
Up Clock @ error|0 waitClock|0,88,0.000759115
Up Clock @ error|0 waitClock|0,89,0.000790653
Up Clock @ error|0 waitClock|0,90,0.000823088
Up Clock @ error|0 waitClock|0,91,0.000856433
Up Clock @ error|0 waitClock|0,92,0.000890702
Up Clock @ error|0 waitClock|0,93,0.000925906
Up Clock @ error|0 waitClock|0,94,0.000962060
Up Clock @ error|0 waitClock|0,95,0.000999177
Up Clock @ error|0 waitClock|0,96,0.001037268
Up Clock @ error|0 waitClock|0,97,0.001076348
Up Clock @ error|0 waitClock|0,98,0.001116429
Up Clock @ error|0 waitClock|0,99,0.001157524
Up Clock @ error|0 waitClock|0,100,0.001199645
