initialRegeneration,time,Down > 0
Up Clock @ waitClock|0,0,0.000000000
Up Clock @ waitClock|0,2,0.000009885
Up Clock @ waitClock|0,4,0.000039400
Up Clock @ waitClock|0,6,0.000088335
Up Clock @ waitClock|0,8,0.000156483
Up Clock @ waitClock|0,10,0.000243636
Up Clock @ waitClock|0,12,0.000349591
Up Clock @ waitClock|0,14,0.000474145
Up Clock @ waitClock|0,16,0.000617097
Up Clock @ waitClock|0,18,0.000778250
Up Clock @ waitClock|0,20,0.000957405
Up Clock @ waitClock|0,22,0.001154367
Up Clock @ waitClock|0,24,0.001368942
Up Clock @ waitClock|0,26,0.001600939
Up Clock @ waitClock|0,28,0.001850168
Up Clock @ waitClock|0,30,0.002116439
Up Clock @ waitClock|0,32,0.002399566
Up Clock @ waitClock|0,34,0.002699364
Up Clock @ waitClock|0,36,0.003015649
Up Clock @ waitClock|0,38,0.003348238
Up Clock @ waitClock|0,40,0.003696953
Up Clock @ waitClock|0,42,0.004061614
Up Clock @ waitClock|0,44,0.004442044
Up Clock @ waitClock|0,46,0.004838067
Up Clock @ waitClock|0,48,0.005249509
Up Clock @ waitClock|0,50,0.005676199
Up Clock @ waitClock|0,52,0.006117964
Up Clock @ waitClock|0,54,0.006574637
Up Clock @ waitClock|0,56,0.007046047
Up Clock @ waitClock|0,58,0.007532031
Up Clock @ waitClock|0,60,0.008032422
Up Clock @ waitClock|0,62,0.008547057
Up Clock @ waitClock|0,64,0.009075774
Up Clock @ waitClock|0,66,0.009618412
Up Clock @ waitClock|0,68,0.010174814
Up Clock @ waitClock|0,70,0.010744820
Up Clock @ waitClock|0,72,0.011328274
Up Clock @ waitClock|0,74,0.011925023
Up Clock @ waitClock|0,76,0.012534912
Up Clock @ waitClock|0,78,0.013157789
Up Clock @ waitClock|0,80,0.013793504
Up Clock @ waitClock|0,82,0.014441907
Up Clock @ waitClock|0,84,0.015102851
Up Clock @ waitClock|0,86,0.015776187
Up Clock @ waitClock|0,88,0.016461773
Up Clock @ waitClock|0,90,0.017159462
Up Clock @ waitClock|0,92,0.017869112
Up Clock @ waitClock|0,94,0.018590582
Up Clock @ waitClock|0,96,0.019323732
Up Clock @ waitClock|0,98,0.020068423
Up Clock @ waitClock|0,100,0.020824517
Up Clock @ waitClock|0,102,0.021591877
Up Clock @ waitClock|0,104,0.022370369
Up Clock @ waitClock|0,106,0.023159858
Up Clock @ waitClock|0,108,0.023960211
Up Clock @ waitClock|0,110,0.024771298
Up Clock @ waitClock|0,112,0.025592987
Up Clock @ waitClock|0,114,0.026425150
Up Clock @ waitClock|0,116,0.027267658
Up Clock @ waitClock|0,118,0.028120385
Up Clock @ waitClock|0,120,0.028983204
Up Clock @ waitClock|0,122,0.029855992
Up Clock @ waitClock|0,124,0.030738624
Up Clock @ waitClock|0,126,0.031630979
Up Clock @ waitClock|0,128,0.032532935
Up Clock @ waitClock|0,130,0.033444371
Up Clock @ waitClock|0,132,0.034365170
Up Clock @ waitClock|0,134,0.035295213
Up Clock @ waitClock|0,136,0.036234384
Up Clock @ waitClock|0,138,0.037182565
Up Clock @ waitClock|0,140,0.038139643
Up Clock @ waitClock|0,142,0.039105505
Up Clock @ waitClock|0,144,0.040080036
Up Clock @ waitClock|0,146,0.041063126
Up Clock @ waitClock|0,148,0.042054665
Up Clock @ waitClock|0,150,0.043054541
Up Clock @ waitClock|0,152,0.044062648
Up Clock @ waitClock|0,154,0.045078876
Up Clock @ waitClock|0,156,0.046103121
Up Clock @ waitClock|0,158,0.047135275
Up Clock @ waitClock|0,160,0.048175235
Up Clock @ waitClock|0,162,0.049222896
Up Clock @ waitClock|0,164,0.050278156
Up Clock @ waitClock|0,166,0.051340914
Up Clock @ waitClock|0,168,0.052411067
Up Clock @ waitClock|0,170,0.053488517
Up Clock @ waitClock|0,172,0.054573164
Up Clock @ waitClock|0,174,0.055664910
Up Clock @ waitClock|0,176,0.056763658
Up Clock @ waitClock|0,178,0.057869311
Up Clock @ waitClock|0,180,0.058981775
Up Clock @ waitClock|0,182,0.060100955
Up Clock @ waitClock|0,184,0.061226756
Up Clock @ waitClock|0,186,0.062359087
Up Clock @ waitClock|0,188,0.063497855
Up Clock @ waitClock|0,190,0.064642969
Up Clock @ waitClock|0,192,0.065794339
Up Clock @ waitClock|0,194,0.066951876
Up Clock @ waitClock|0,196,0.068115491
Up Clock @ waitClock|0,198,0.069285096
Up Clock @ waitClock|0,200,0.070460605
Up Clock @ waitClock|0,202,0.071641930
Up Clock @ waitClock|0,204,0.072828988
Up Clock @ waitClock|0,206,0.074021693
Up Clock @ waitClock|0,208,0.075219962
Up Clock @ waitClock|0,210,0.076423712
Up Clock @ waitClock|0,212,0.077632860
Up Clock @ waitClock|0,214,0.078847325
Up Clock @ waitClock|0,216,0.080067027
Up Clock @ waitClock|0,218,0.081291886
Up Clock @ waitClock|0,220,0.082521822
Up Clock @ waitClock|0,222,0.083756758
Up Clock @ waitClock|0,224,0.084996615
Up Clock @ waitClock|0,226,0.086241316
Up Clock @ waitClock|0,228,0.087490786
Up Clock @ waitClock|0,230,0.088744949
Up Clock @ waitClock|0,232,0.090003730
Up Clock @ waitClock|0,234,0.091267056
Up Clock @ waitClock|0,236,0.092534852
Up Clock @ waitClock|0,238,0.093807046
Up Clock @ waitClock|0,240,0.095083566
Up Clock @ waitClock|0,242,0.096364341
Up Clock @ waitClock|0,244,0.097649301
Up Clock @ waitClock|0,246,0.098938374
Up Clock @ waitClock|0,248,0.100231493
Up Clock @ waitClock|0,250,0.101528587
Up Clock @ waitClock|0,252,0.102829591
Up Clock @ waitClock|0,254,0.104134435
Up Clock @ waitClock|0,256,0.105443054
Up Clock @ waitClock|0,258,0.106755380
Up Clock @ waitClock|0,260,0.108071350
Up Clock @ waitClock|0,262,0.109390898
Up Clock @ waitClock|0,264,0.110713960
Up Clock @ waitClock|0,266,0.112040472
Up Clock @ waitClock|0,268,0.113370372
Up Clock @ waitClock|0,270,0.114703596
Up Clock @ waitClock|0,272,0.116040084
Up Clock @ waitClock|0,274,0.117379774
Up Clock @ waitClock|0,276,0.118722606
Up Clock @ waitClock|0,278,0.120068519
Up Clock @ waitClock|0,280,0.121417455
Up Clock @ waitClock|0,282,0.122769354
Up Clock @ waitClock|0,284,0.124124158
Up Clock @ waitClock|0,286,0.125481809
Up Clock @ waitClock|0,288,0.126842251
Up Clock @ waitClock|0,290,0.128205426
Up Clock @ waitClock|0,292,0.129571279
Up Clock @ waitClock|0,294,0.130939754
Up Clock @ waitClock|0,296,0.132310797
Up Clock @ waitClock|0,298,0.133684352
Up Clock @ waitClock|0,300,0.135060366
Up Clock @ waitClock|0,302,0.136438786
Up Clock @ waitClock|0,304,0.137819559
Up Clock @ waitClock|0,306,0.139202631
Up Clock @ waitClock|0,308,0.140587953
Up Clock @ waitClock|0,310,0.141975471
Up Clock @ waitClock|0,312,0.143365137
Up Clock @ waitClock|0,314,0.144756898
Up Clock @ waitClock|0,316,0.146150706
Up Clock @ waitClock|0,318,0.147546510
Up Clock @ waitClock|0,320,0.148944263
Up Clock @ waitClock|0,322,0.150343916
Up Clock @ waitClock|0,324,0.151745421
Up Clock @ waitClock|0,326,0.153148731
Up Clock @ waitClock|0,328,0.154553798
Up Clock @ waitClock|0,330,0.155960576
Up Clock @ waitClock|0,332,0.157369020
Up Clock @ waitClock|0,334,0.158779083
Up Clock @ waitClock|0,336,0.160190721
Up Clock @ waitClock|0,338,0.161603889
Up Clock @ waitClock|0,340,0.163018543
Up Clock @ waitClock|0,342,0.164434638
Up Clock @ waitClock|0,344,0.165852132
Up Clock @ waitClock|0,346,0.167270983
Up Clock @ waitClock|0,348,0.168691146
Up Clock @ waitClock|0,350,0.170112581
Up Clock @ waitClock|0,352,0.171535245
Up Clock @ waitClock|0,354,0.172959098
Up Clock @ waitClock|0,356,0.174384099
Up Clock @ waitClock|0,358,0.175810208
Up Clock @ waitClock|0,360,0.177237383
Up Clock @ waitClock|0,362,0.178665587
Up Clock @ waitClock|0,364,0.180094780
Up Clock @ waitClock|0,366,0.181524922
Up Clock @ waitClock|0,368,0.182955977
Up Clock @ waitClock|0,370,0.184387905
Up Clock @ waitClock|0,372,0.185820669
Up Clock @ waitClock|0,374,0.187254232
Up Clock @ waitClock|0,376,0.188688558
Up Clock @ waitClock|0,378,0.190123609
Up Clock @ waitClock|0,380,0.191559350
Up Clock @ waitClock|0,382,0.192995744
Up Clock @ waitClock|0,384,0.194432758
Up Clock @ waitClock|0,386,0.195870355
Up Clock @ waitClock|0,388,0.197308502
Up Clock @ waitClock|0,390,0.198747163
Up Clock @ waitClock|0,392,0.200186306
Up Clock @ waitClock|0,394,0.201625896
Up Clock @ waitClock|0,396,0.203065900
Up Clock @ waitClock|0,398,0.204506286
Up Clock @ waitClock|0,400,0.205947020
Up Clock @ waitClock|0,402,0.207388072
Up Clock @ waitClock|0,404,0.208829409
Up Clock @ waitClock|0,406,0.210270999
Up Clock @ waitClock|0,408,0.211712811
Up Clock @ waitClock|0,410,0.213154816
Up Clock @ waitClock|0,412,0.214596981
Up Clock @ waitClock|0,414,0.216039277
Up Clock @ waitClock|0,416,0.217481674
Up Clock @ waitClock|0,418,0.218924143
Up Clock @ waitClock|0,420,0.220366654
Up Clock @ waitClock|0,422,0.221809178
Up Clock @ waitClock|0,424,0.223251687
Up Clock @ waitClock|0,426,0.224694152
Up Clock @ waitClock|0,428,0.226136546
Up Clock @ waitClock|0,430,0.227578841
Up Clock @ waitClock|0,432,0.229021009
Up Clock @ waitClock|0,434,0.230463023
Up Clock @ waitClock|0,436,0.231904856
Up Clock @ waitClock|0,438,0.233346483
Up Clock @ waitClock|0,440,0.234787876
Up Clock @ waitClock|0,442,0.236229009
Up Clock @ waitClock|0,444,0.237669858
Up Clock @ waitClock|0,446,0.239110396
Up Clock @ waitClock|0,448,0.240550598
Up Clock @ waitClock|0,450,0.241990441
Up Clock @ waitClock|0,452,0.243429898
Up Clock @ waitClock|0,454,0.244868946
Up Clock @ waitClock|0,456,0.246307560
Up Clock @ waitClock|0,458,0.247745718
Up Clock @ waitClock|0,460,0.249183395
Up Clock @ waitClock|0,462,0.250620568
Up Clock @ waitClock|0,464,0.252057214
Up Clock @ waitClock|0,466,0.253493311
Up Clock @ waitClock|0,468,0.254928836
Up Clock @ waitClock|0,470,0.256363766
Up Clock @ waitClock|0,472,0.257798080
Up Clock @ waitClock|0,474,0.259231756
Up Clock @ waitClock|0,476,0.260664773
Up Clock @ waitClock|0,478,0.262097108
Up Clock @ waitClock|0,480,0.263528742
Up Clock @ waitClock|0,482,0.264959654
Up Clock @ waitClock|0,484,0.266389822
Up Clock @ waitClock|0,486,0.267819227
Up Clock @ waitClock|0,488,0.269247848
Up Clock @ waitClock|0,490,0.270675667
Up Clock @ waitClock|0,492,0.272102662
Up Clock @ waitClock|0,494,0.273528815
Up Clock @ waitClock|0,496,0.274954106
Up Clock @ waitClock|0,498,0.276378517
Up Clock @ waitClock|0,500,0.277802029
Up Clock @ waitClock|0,502,0.279224623
Up Clock @ waitClock|0,504,0.280646281
Up Clock @ waitClock|0,506,0.282066985
Up Clock @ waitClock|0,508,0.283486717
Up Clock @ waitClock|0,510,0.284905459
Up Clock @ waitClock|0,512,0.286323195
Up Clock @ waitClock|0,514,0.287739906
Up Clock @ waitClock|0,516,0.289155576
Up Clock @ waitClock|0,518,0.290570187
Up Clock @ waitClock|0,520,0.291983724
Up Clock @ waitClock|0,522,0.293396170
