initialRegeneration,time,Ko
Ok Clock @ error|0 w|0,0,0.00000000000000000000
Ok Clock @ error|0 w|0,1,0.00000000000000000000
Ok Clock @ error|0 w|0,2,0.00000000030160044727
Ok Clock @ error|0 w|0,3,0.00000000151958963462
Ok Clock @ error|0 w|0,4,0.00000000477981817501
Ok Clock @ error|0 w|0,5,0.00000001161403183405
Ok Clock @ error|0 w|0,6,0.00000002396850900407
Ok Clock @ error|0 w|0,7,0.00000004419393504023
Ok Clock @ error|0 w|0,8,0.00000007503543517374
Ok Clock @ error|0 w|0,9,0.00000011962278286207
Ok Clock @ error|0 w|0,10,0.00000018146076418152
Ok Clock @ error|0 w|0,11,0.00000026441969739477
Ok Clock @ error|0 w|0,12,0.00000037272612286270
Ok Clock @ error|0 w|0,13,0.00000051095363730027
Ok Clock @ error|0 w|0,14,0.00000068401388762744
Ok Clock @ error|0 w|0,15,0.00000089714771357415
Ok Clock @ error|0 w|0,16,0.00000115591643951612
Ok Clock @ error|0 w|0,17,0.00000146619331337232
Ok Clock @ error|0 w|0,18,0.00000183415508806496
Ok Clock @ error|0 w|0,19,0.00000226627374629109
Ok Clock @ error|0 w|0,20,0.00000276930837609296
Ok Clock @ error|0 w|0,21,0.00000335029716121991
Ok Clock @ error|0 w|0,22,0.00000401654953195606
Ok Clock @ error|0 w|0,23,0.00000477563843887017
Ok Clock @ error|0 w|0,24,0.00000563539275720605
Ok Clock @ error|0 w|0,25,0.00000660388983017642
Ok Clock @ error|0 w|0,26,0.00000768944813397366
Ok Clock @ error|0 w|0,27,0.00000890062007204245
Ok Clock @ error|0 w|0,28,0.00001024618489172164
Ok Clock @ error|0 w|0,29,0.00001173514173084505
Ok Clock @ error|0 w|0,30,0.00001337670277907892
Ok Clock @ error|0 w|0,31,0.00001518028655665263
Ok Clock @ error|0 w|0,32,0.00001715551132389338
Ok Clock @ error|0 w|0,33,0.00001931218858912364
Ok Clock @ error|0 w|0,34,0.00002166031674608980
Ok Clock @ error|0 w|0,35,0.00002421007481220436
Ok Clock @ error|0 w|0,36,0.00002697181629070399
Ok Clock @ error|0 w|0,37,0.00002995606312524840
Ok Clock @ error|0 w|0,38,0.00003317349978347525
Ok Clock @ error|0 w|0,39,0.00003663496742096303
Ok Clock @ error|0 w|0,40,0.00004035145817911647
Ok Clock @ error|0 w|0,41,0.00004433410955988921
Ok Clock @ error|0 w|0,42,0.00004859419891704082
Ok Clock @ error|0 w|0,43,0.00005314313804396088
Ok Clock @ error|0 w|0,44,0.00005799246786001138
Ok Clock @ error|0 w|0,45,0.00006315385318902240
Ok Clock @ error|0 w|0,46,0.00006863907764556143
Ok Clock @ error|0 w|0,47,0.00007446003860153342
Ok Clock @ error|0 w|0,48,0.00008062874225212023
Ok Clock @ error|0 w|0,49,0.00008715729878122575
Ok Clock @ error|0 w|0,50,0.00009405791759129465
Ok Clock @ error|0 w|0,51,0.00010134290266053490
Ok Clock @ error|0 w|0,52,0.00010902464795003239
Ok Clock @ error|0 w|0,53,0.00011711563291933529
Ok Clock @ error|0 w|0,54,0.00012562841812020560
Ok Clock @ error|0 w|0,55,0.00013457564087373297
Ok Clock @ error|0 w|0,56,0.00014397001102829196
Ok Clock @ error|0 w|0,57,0.00015382430680487268
Ok Clock @ error|0 w|0,58,0.00016415137071543016
Ok Clock @ error|0 w|0,59,0.00017496410555737062
Ok Clock @ error|0 w|0,60,0.00018627547049568843
